epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6583608388900757,0.7532654404640198,0.001,0.8367347121238708,0.405446857213974
1,0.8270789384841919,0.4298325181007385,0.001,0.8751500844955444,0.3384074866771698
2,0.8682077527046204,0.3471863269805908,0.001,0.9015606045722961,0.2978433668613434
3,0.8901230692863464,0.3012022078037262,0.001,0.89555823802948,0.29155635833740234
4,0.9072350859642029,0.254997581243515,0.001,0.9051620364189148,0.2652369439601898
5,0.9189432859420776,0.22610081732273102,0.001,0.9195678234100342,0.24709779024124146
6,0.9354548454284668,0.18484818935394287,0.001,0.9159663915634155,0.25182271003723145
7,0.9402582049369812,0.16477350890636444,0.001,0.9207683205604553,0.23079818487167358
8,0.9564695358276367,0.1315988004207611,0.001,0.9123649597167969,0.24898174405097961
9,0.9501650929450989,0.1277897208929062,0.001,0.8235294222831726,0.4787021279335022
10,0.9573701620101929,0.11606823652982712,0.001,0.918367326259613,0.26195645332336426
11,0.968778133392334,0.08455907553434372,0.001,0.9159663915634155,0.2714154124259949
12,0.9801861047744751,0.06217584013938904,0.001,0.9051620364189148,0.3859815299510956
13,0.9714800119400024,0.07352852076292038,0.001,0.9195678234100342,0.2808871269226074
14,0.9882918000221252,0.0395779088139534,0.001,0.9003601670265198,0.3450399935245514
15,0.9912939071655273,0.029936155304312706,0.001,0.9111644625663757,0.3976525366306305
16,0.9921945333480835,0.0233132466673851,0.00015,0.9171668887138367,0.36403942108154297
17,0.9930951595306396,0.01769103668630123,0.00015,0.9159663915634155,0.37807497382164
18,0.9936955571174622,0.018440503627061844,0.00015,0.9195678234100342,0.3797966539859772
19,0.9957970380783081,0.01569468528032303,0.00015,0.9147658944129944,0.3931978940963745
20,0.9963974952697754,0.014114594087004662,0.00015,0.9195678234100342,0.40446212887763977
21,0.9981987476348877,0.01187838800251484,0.00015,0.9219687581062317,0.4082246720790863
22,0.9975982904434204,0.012036427855491638,0.00015,0.918367326259613,0.4074815809726715
23,0.9969978928565979,0.011003781110048294,0.00015,0.9219687581062317,0.41644206643104553
24,0.997898519039154,0.009825593791902065,2.25e-05,0.9219687581062317,0.4150863289833069
25,0.9990993738174438,0.008487421087920666,2.25e-05,0.9159663915634155,0.41346248984336853
26,0.9972981214523315,0.011000582948327065,2.25e-05,0.918367326259613,0.41207370162010193
27,0.9984989762306213,0.008922779932618141,2.25e-05,0.9207683205604553,0.41459450125694275
28,0.9981987476348877,0.009111565537750721,2.25e-05,0.918367326259613,0.41476014256477356
29,0.997898519039154,0.01029413752257824,2.25e-05,0.9171668887138367,0.4145013689994812
30,0.9981987476348877,0.008741136640310287,2.25e-05,0.918367326259613,0.41806626319885254
31,0.997898519039154,0.009719463996589184,2.25e-05,0.9171668887138367,0.4149990975856781
32,0.9987991452217102,0.008066979236900806,3.375e-06,0.9171668887138367,0.41544219851493835
33,0.9987991452217102,0.00893852487206459,3.375e-06,0.9171668887138367,0.4157685935497284
34,0.9993996024131775,0.008915426209568977,3.375e-06,0.9171668887138367,0.41633501648902893
35,0.9969978928565979,0.011310563422739506,3.375e-06,0.9171668887138367,0.41627174615859985
36,0.9987991452217102,0.009588784538209438,3.375e-06,0.9171668887138367,0.4163593053817749
37,0.9987991452217102,0.009298053570091724,3.375e-06,0.9171668887138367,0.41666796803474426
38,0.9987991452217102,0.008493086323142052,3.375e-06,0.9171668887138367,0.41696688532829285
39,0.9987991452217102,0.008478637784719467,3.375e-06,0.9171668887138367,0.41726067662239075
40,0.9984989762306213,0.008252682164311409,5.0625e-07,0.9171668887138367,0.4172326922416687
41,0.997898519039154,0.009151661768555641,5.0625e-07,0.9171668887138367,0.4173052906990051
42,0.9987991452217102,0.008584483526647091,5.0625e-07,0.9171668887138367,0.41734424233436584
43,1.0,0.0074195461347699165,5.0625e-07,0.9171668887138367,0.41746005415916443
44,0.9984989762306213,0.008484533987939358,5.0625e-07,0.9171668887138367,0.4175221920013428
45,0.9987991452217102,0.00848628394305706,5.0625e-07,0.9171668887138367,0.41743719577789307
46,0.9981987476348877,0.009187459945678711,5.0625e-07,0.9171668887138367,0.41747811436653137
47,0.9975982904434204,0.00955907441675663,5.0625e-07,0.9171668887138367,0.41742756962776184
48,0.997898519039154,0.00991380587220192,7.59375e-08,0.9171668887138367,0.4174310863018036
49,0.9990993738174438,0.008270563557744026,7.59375e-08,0.9171668887138367,0.4174342453479767
